text,label
Is it possible for me to change my PIN number?,21
I'm not sure why my card didn't work,25
I don't think my top up worked,59
Can you explain why my payment was charged a fee?,15
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",5
Why am I getting declines when trying to make a purchase online?,27
What is the $1 transaction on my account?,34
It looks like my card payment was sent back.,53
Why am I unable to transfer money when I was able to before?,7
What if there is an error on the exchange rate?,17
After I transferred money the balance remained the same.,5
How much does top up fees cost?,57
limits on top ups,60
My card payment was not successful.,25
I live in the EU - can I get a card?,24
Why did my top-up not work?,59
"I have a strange transaction for £1 on my statement, what is that?",34
Why is my money not in my account. I have already sent it out.,6
Let me know what the steps for the identity checks are,69
I need my card as quick as possible,12
In what increments can I top-up my card?,4
When do i activate auto top-up?,4
Do you charge for sending out more cards?,39
Why am I being asked to verify my identity?,74
What currencies can I use?,54
I withdrew cash and I think the exchange rate is wrong.,76
"My top up hasn't gone through yet, why?",47
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",19
The exchange rate was wrong in the foreign country I got cash in.,76
I am still waiting for a transfer to show,48
How is the exchange rate calculated?,32
"There was an extra fee when I paid with my card, why was i charged this extra fee?",15
My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,59
"My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?",27
How long does it take for my physical card to be delivered.,12
I need to know why a money transfer is available.,48
I must make several disposable cards every day.,29
What do I do to link my new card?,13
Why is their a charge pending on my card still?,45
Why is there extra cash in my account?,20
Can I get a refund on an item?,52
Can I get an update on my replacement card?,11
How do I know what my PIN is?,38
In which countries can I get a card?,24
Can I choose from either Visa or Mastercard?,73
My card still hasn't been delivered,11
I didn't make the direct debit payment on my account.,28
after i got married i need to change my name,30
How can I tell the source for my available funds?,70
I didn't get all the cash I asked for,75
where did my funds come from?,70
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,28
"Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?",25
My card is not working at stores.,25
Do you accept all cards and currencies?,54
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",63
It's requiring me to verify my identity?,74
I noticed a different charge while I was taking my money out.,19
Where can I find my PIN? I haven't gotten it yet.,38
Why isn't my cash deposit showing up in my account? I deposited it this morning.,6
When I'm traveling is it possible to add money automatically at certain time points?,4
"I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening?",53
What cash machines will let me change my PIN?,21
I haven't received my card.,11
Where is my virtual card?,40
I did a transfer and I was charged a fee that shouldn't be there!,64
What are the reasons why a card payment would be declined?,25
When will I have access to my pin number?,38
How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,45
How do I get my card out of the ATM?,18
I just sent money but the person I sent it to doesn't see it. What happened?,66
How do I verify my identity online,69
When can I expect my new card to get here?,12
"I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?",28
How do I get a card if I live in the US?,24
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.",35
The top-up did not go through.,59
Am I charged for receiving money?,56
How do I go about getting hold of a virtual card?,40
Why would my top up be reverted?,61
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",46
I tried pulling out money at the ATM and it gave me an incorrect amount back.,75
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,46
I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening?,53
Can I use my card to withdraw from my account?,3
"I see I was charged extra when I used the card.  I am not sure why, please tell me why.",15
I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives,59
How come when I tried to pay contactless at the bus it didnt work?,23
There is a record of payment I never submitted on the app.,16
"My refund has not arrived, and I am unsure why. Who do I contact?",51
What is the procedure for depositing a virtual card,37
What kind of costs are involved for exchanging currency?,31
Is there a reason why my virtual card won't work?,72
I tried to do a transfer but I got a message that it was declined.,27
How can I dispute a direct debit transaction?,28
Why has transferring money resulted in a charge?,64
Who do I make a check out to if I want to top off my account?,58
"Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?",35
"I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?",52
I need to make several disposable cards per day.,29
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,46
Can you tell me how to tell where my funds come from?,70
I can't find the auto-top up option.,4
What fee will be charged for exchanges?,31
Can turn my money into another currency?,33
How long does it take for something to be delivered to the U.S?,12
is there a fee for swift transfer,56
What is the process to get a new card when your old one expires?,9
I need to urgently transfer something from China. How long will it approximately take?,67
The money has not yet been placed in recipients account.,66
Is top-up possible with Apple Pay?,2
Why was my top up cancelled?,61
why do I have to show my ID,69
Why do I see a random withdrawal in my app?,20
How long does it take for the transfer to go through?,66
I cannot get my google pay to work.,2
Why would my payment for my card show as pending?,45
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.,53
How can I prove I am me?,69
Please cancel my last transaction.,8
What do I do if my top-up has not gone through?,47
Can my PIN be changed in any cash machine?,21
Can I get paid for this in another currency?,50
